Year,Month,Day,Temp_mean,Temp_max,Temp_min,DewPoint_mean,DewPoint_max,DewPoint_min,RelHum_mean,RelHum_max,RelHum_min,PrecipAmount_sum,StnPress_mean,StnPress_max,StnPress_min
2015,1,1,-5.092,-2.4,-6.8,-12.758,-10.9,-15.9,55.125,62.0,45.0,0.0,99.931,100.45,99.53
2015,1,2,-1.729,-0.7,-3.1,-8.804,-4.0,-11.9,59.25,85.0,45.0,0.0,100.519,101.31,99.73
2015,1,3,-1.417,1.0,-3.6,-5.121,0.6,-10.6,76.75,99.0,56.0,8.7,101.142,101.62,99.98
2015,1,4,2.854,4.7,1.4,1.988,3.9,-2.0,94.333,100.0,75.0,13.7,99.089,99.87,98.55
2015,1,5,-7.196,0.1,-11.7,-12.212,-0.7,-18.8,67.833,95.0,54.0,0.8,100.647,101.61,99.43
2015,1,6,-10.392,-7.9,-12.4,-15.042,-12.7,-17.4,68.917,80.0,56.0,0.0,100.978,101.59,100.22
2015,1,7,-12.608,-8.4,-17.3,-18.083,-11.3,-25.2,64.375,89.0,39.0,0.3,100.392,101.41,99.66
2015,1,8,-12.679,-8.5,-17.1,-17.45,-13.6,-22.8,68.0,79.0,52.0,0.0,100.97,101.45,100.22
2015,1,9,-7.967,-5.6,-9.0,-12.108,-9.2,-15.2,72.583,89.0,56.0,1.6,99.615,100.32,99.11
2015,1,10,-11.571,-9.2,-14.4,-16.796,-14.7,-18.5,65.458,73.0,53.0,0.0,101.049,101.46,100.42
2015,1,11,-5.567,0.2,-11.2,-11.333,-6.3,-17.0,64.083,78.0,56.0,0.0,101.405,101.58,101.2
2015,1,12,-1.217,0.2,-5.0,-4.738,-2.0,-10.4,78.042,94.0,54.0,2.0,101.035,101.53,100.84
2015,1,13,-14.033,-6.3,-19.4,-19.7,-12.0,-24.2,62.375,69.0,52.0,0.2,102.506,102.96,101.65
2015,1,14,-7.908,-3.9,-11.4,-13.146,-10.5,-16.3,67.5,84.0,46.0,0.0,101.55,102.47,100.96
2015,1,15,-7.904,-4.1,-10.7,-12.471,-9.5,-14.7,70.167,80.0,52.0,0.0,100.536,100.99,99.73
2015,1,16,-5.129,-1.8,-9.5,-10.338,-3.3,-16.2,67.333,89.0,52.0,0.0,99.976,101.0,99.33
2015,1,17,-3.504,-0.5,-11.0,-8.5,-5.1,-15.0,68.417,79.0,58.0,0.0,99.968,101.17,99.44
2015,1,18,3.575,5.2,0.0,0.167,1.9,-4.1,78.833,90.0,67.0,0.5,99.078,99.45,98.89
2015,1,19,-0.412,2.9,-4.1,-4.608,0.9,-9.1,73.75,90.0,59.0,0.6,99.69,100.03,99.25
2015,1,20,-7.788,-5.0,-11.5,-14.35,-9.7,-18.0,61.0,77.0,38.0,0.0,100.225,100.49,100.08
2015,1,21,-7.079,-2.8,-10.1,-12.2,-5.6,-17.5,67.458,83.0,49.0,0.0,100.587,100.66,100.46
2015,1,22,-4.004,0.0,-6.8,-8.846,-7.1,-10.1,69.667,81.0,53.0,0.0,101.014,101.37,100.61
2015,1,23,-1.483,1.2,-2.6,-6.417,-4.2,-7.6,69.208,77.0,63.0,0.0,100.869,101.47,100.02
2015,1,24,-2.267,-0.4,-4.2,-4.388,-1.4,-6.2,85.292,94.0,80.0,0.0,99.068,99.96,98.4
2015,1,25,-5.671,1.2,-10.9,-12.058,-1.0,-20.8,63.208,89.0,32.0,0.0,99.443,100.29,98.49
2015,1,26,-10.342,-7.5,-13.0,-16.442,-14.3,-18.6,61.792,81.0,45.0,0.0,100.284,100.44,100.08
2015,1,27,-8.917,-5.4,-11.1,-16.154,-13.8,-19.1,57.875,80.0,34.0,0.4,100.352,100.65,100.18
2015,1,28,-7.204,-1.2,-11.7,-15.538,-10.7,-18.1,52.833,70.0,28.0,0.0,100.966,101.29,100.65
2015,1,29,-1.967,0.4,-4.4,-7.846,-0.9,-13.2,66.0,97.0,37.0,6.1,100.338,101.21,99.26
2015,1,30,-6.204,-0.3,-11.4,-9.996,-1.1,-17.3,74.708,95.0,60.0,1.7,100.35,101.36,99.35
2015,1,31,-9.638,-3.2,-13.5,-14.025,-7.0,-17.4,70.458,77.0,62.0,0.0,101.228,101.48,100.78
2015,2,1,-6.417,-1.8,-11.2,-10.246,-4.3,-16.0,74.167,84.0,61.0,0.0,100.838,101.13,100.56
2015,2,2,-12.946,-11.1,-14.5,-15.542,-14.1,-17.0,81.292,88.0,67.0,13.1,99.679,100.44,99.11
2015,2,3,-10.15,-4.5,-13.6,-14.758,-11.2,-17.8,69.292,80.0,58.0,0.0,100.565,100.67,100.3
